panel,condition,sample,cells_before,cells_after,perc_tot_removed,perc_IT_removed,perc_MAD_removed
intracell,peanut,W48_ICS_AA23008_2024-08-23_Peanut.fcs,45314,45314,0,0,0
intracell,peanut,W48_ICS_AA23009_2024-06-21_Peanut.fcs,42856,42750,0.247339929,0.247339929,0
intracell,peanut,W48_ICS_AA23010_2024-07-31_Peanut.fcs,58328,58328,0,0,0
intracell,peanut,W48_ICS_AA23013_2024-11-04_Peanut.fcs,44035,44000,0.07948223,0,0.07948223
intracell,peanut,W48_ICS_AA23015_2024-10-23_Peanut.fcs,40477,40477,0,0,0
intracell,peanut,W6_ICS_AA22008_2022-05-02_Peanut.fcs,42781,40750,4.747434609,0.072462074,4.747434609
intracell,peanut,W6_ICS_AA22019_2023-01-04_Peanut.fcs,51627,51627,0,0,0
intracell,peanut,W6_ICS_AA22020_2023-01-24_Peanut.fcs,33850,33250,1.772525849,NA,1.772525849
intracell,peanut,W6_ICS_AA23001_2023-06-01_Peanut.fcs,53045,53045,0,0,0
intracell,peanut,W6_ICS_AA23002_2023-05-03_Peanut.fcs,47043,47000,0.091405735,0,0.091405735
intracell,peanut,W6_ICS_AA23003_2023-06-12_Peanut.fcs,47771,47750,0.043959725,0,0.043959725
intracell,peanut,W6_ICS_AA23004_2023-06-26_Peanut.fcs,53139,53139,0,0,0
intracell,peanut,W6_ICS_AA23005_2023-09-19_Peanut.fcs,50567,50567,0,0,0
intracell,peanut,W6_ICS_AA23008_2023-08-23_Peanut.fcs,50290,50290,0,0,0
intracell,peanut,W6_ICS_AA23009_2023-08-30_Peanut.fcs,46639,44139,5.360320762,1.072064152,4.288256609
intracell,peanut,W6_ICS_AA23010_2023-09-26_Peanut1.fcs,39757,39750,0.017606962,0.017606962,0
intracell,peanut,W6_ICS_AA23010_2023-09-26_Peanut2.fcs,38410,37910,1.301744337,1.301744337,0
intracell,peanut,W6_ICS_AA23013_2024-01-05_Peanut.fcs,51109,51000,0.213269679,0,0.213269679
intracell,peanut,W6_ICS_AA23015_2024-01-03_Peanut.fcs,49032,49032,0,0,0
