filename,panel,condition,cell_count
W48_SUR_AA23015_2024-10-23_Peanut.fcs,surface,peanut,188044
W6_SUR_AA22008_2022-05-02_Peanut1.fcs,surface,peanut,186653
W6_SUR_AA22019_2023-01-04_Peanut.fcs,surface,peanut,194727
W6_SUR_AA22020_2023-01-24_Peanut.fcs,surface,peanut,192798
W6_SUR_AA23001_2023-06-01_Peanut.fcs,surface,peanut,192659
W6_SUR_AA23002_2023-05-03_Peanut.fcs,surface,peanut,190773
W6_SUR_AA23003_2023-06-12_Peanut1.fcs,surface,peanut,135566
W6_SUR_AA23004_2023-06-26_Peanut1.fcs,surface,peanut,94559
W6_SUR_AA23005_2023-09-19_Peanut.fcs,surface,peanut,164630
W6_SUR_AA23008_2023-08-23_Peanut.fcs,surface,peanut,194367
W6_SUR_AA23009_2023-08-30_Peanut1.fcs,surface,peanut,188648
W6_SUR_AA23010_2023-09-26_Peanut1.fcs,surface,peanut,189240
W6_SUR_AA23013_2024-01-05_Peanut1.fcs,surface,peanut,193058
W6_SUR_AA23015_2024-01-03_Peanut.fcs,surface,peanut,195560
BAS_SUR_AA22008_2022-03-14_Unstim.fcs,surface,unstim,191850
BAS_SUR_AA22011_2022-04-01_Unstim.fcs,surface,unstim,199909
BAS_SUR_AA22019_2022-10-18_Unstim.fcs,surface,unstim,191204
BAS_SUR_AA22020_2022-10-25_Unstim.fcs,surface,unstim,189619
BAS_SUR_AA23001_2023-02-07_Unstim.fcs,surface,unstim,195329
BAS_SUR_AA23002_2023-02-17_Unstim.fcs,surface,unstim,190667
BAS_SUR_AA23003_2023-03-27_Unstim.fcs,surface,unstim,103188
BAS_SUR_AA23004_2023-04-04_Unstim.fcs,surface,unstim,95586
BAS_SUR_AA23005_2023-07-04_Unstim.fcs,surface,unstim,163430
BAS_SUR_AA23008_2023-05-23_Unstim1.fcs,surface,unstim,190269
BAS_SUR_AA23009_2023-06-05_Unstim1.fcs,surface,unstim,192824
BAS_SUR_AA23010_2023-07-03_Unstim.fcs,surface,unstim,201673
BAS_SUR_AA23013_2023-10-04_Unstim.fcs,surface,unstim,191136
BAS_SUR_AA23015_2023-11-06_Unstim.fcs,surface,unstim,196068
W12_SUR_AA22008_2022-06-23_Unstim.fcs,surface,unstim,189218
W12_SUR_AA22011_2022-07-21_Unstim.fcs,surface,unstim,193943
W12_SUR_AA22019_2023-02-10_Unstim.fcs,surface,unstim,191486
W12_SUR_AA23001_2023-07-14_Unstim.fcs,surface,unstim,186871
W12_SUR_AA23002_2023-06-15_Unstim.fcs,surface,unstim,200667
W12_SUR_AA23003_2023-07-20_Unstim1.fcs,surface,unstim,162108
W12_SUR_AA23004_2023-08-15_Unstim.fcs,surface,unstim,138650
W12_SUR_AA23005_2023-10-30_Unstim1.fcs,surface,unstim,195015
W12_SUR_AA23008_2023-10-06_Unstim.fcs,surface,unstim,194513
W12_SUR_AA23009_2023-10-11_Unstim.fcs,surface,unstim,197222
W12_SUR_AA23010_2023-11-09_Unstim.fcs,surface,unstim,213751
W12_SUR_AA23013_2024-02-16_Unstim.fcs,surface,unstim,193471
W12_SUR_AA23015_2024-02-16_Unstim.fcs,surface,unstim,198301
W2_SUR_AA22008_2022-04-04_Unstim.fcs,surface,unstim,193915
W2_SUR_AA22011_2022-05-10_Unstim.fcs,surface,unstim,205838
W2_SUR_AA22019_2022-12-09_Unstim.fcs,surface,unstim,192038
W2_SUR_AA22020_2022-12-19_Unstim.fcs,surface,unstim,203090
W2_SUR_AA23001_2023-05-05_Unstim.fcs,surface,unstim,193395
W2_SUR_AA23002_2023-04-05_Unstim.fcs,surface,unstim,192168
W2_SUR_AA23003_2023-05-16_Unstim.fcs,surface,unstim,213623
W2_SUR_AA23004_2023-05-19_Unstim.fcs,surface,unstim,139353
W2_SUR_AA23005_2023-08-23_Unstim.fcs,surface,unstim,199242
W2_SUR_AA23008_2023-07-24_Unstim.fcs,surface,unstim,207421
W2_SUR_AA23009_2023-08-01_Unstim.fcs,surface,unstim,197940
W2_SUR_AA23010_2023-08-28_Unstim.fcs,surface,unstim,209626
W2_SUR_AA23013_2023-12-08_Unstim.fcs,surface,unstim,195999
W2_SUR_AA23015_2023-12-01_Unstim.fcs,surface,unstim,197249
W24_SUR_AA22011_2022-10-20_Unstim.fcs,surface,unstim,207183
W24_SUR_AA22019_2023-05-03_Unstim1.fcs,surface,unstim,191472
W24_SUR_AA22020_2023-06-01_Unstim1.fcs,surface,unstim,189301
W24_SUR_AA23001_2023-10-17_Unstim.fcs,surface,unstim,199498
W24_SUR_AA23002_2023-09-07_Unstim.fcs,surface,unstim,191687
W24_SUR_AA23003_2023-10-16_Unstim.fcs,intracell,unstim,96868
W24_SUR_AA23004_2023-11-06_Unstim.fcs,intracell,unstim,104251
W24_SUR_AA23005_2024-01-19_Unstim.fcs,intracell,unstim,164161
W24_SUR_AA23008_2024-01-02_Unstim1.fcs,intracell,unstim,196527
W24_SUR_AA23009_2024-01-03_Unstim.fcs,intracell,unstim,192320
W24_SUR_AA23010_2024-02-05_Unstim.fcs,intracell,unstim,189686
W24_SUR_AA23013_2024-05-09_Unstim1.fcs,intracell,unstim,188741
W24_SUR_AA23015_2024-05-10_Unstim.fcs,intracell,unstim,195616
W36_SUR_AA22008_2022-09-12_Unstim.fcs,intracell,unstim,188458
W36_SUR_AA22011_2023-01-09_Unstim.fcs,intracell,unstim,204141
W36_SUR_AA22019_2023-07-27_Unstim.fcs,intracell,unstim,197440
W36_SUR_AA22020_2023-09-07_Unstim1.fcs,intracell,unstim,187505
W36_SUR_AA23001_2024-01-10_Unstim.fcs,intracell,unstim,192659
W36_SUR_AA23002_2023-11-28_Unstim.fcs,intracell,unstim,191764
W36_SUR_AA23003_2024-01-08_Unstim.fcs,intracell,unstim,96496
W36_SUR_AA23004_2024-02-02_Unstim.fcs,intracell,unstim,101691
W36_SUR_AA23005_2024-04-12_Unstim.fcs,intracell,unstim,161433
