"","medians BAS","medians W2","p values","-log10 p values","adjusted p values","fold changes","log10 fold changes"
"C51 CD154 <CD154>",0.832441091537476,0.673484981060028,0.273464233087508,0.563099467826,0.382037821666295,-1.23602027505834,-0.0920255947606748
"C52 CD154 <CD154>",1.00255066156387,0.472527712583542,0.162346947046639,0.789555873919808,0.338671580306846,-2.12167590358338,-0.32667904401623
"C53 CD154 <CD154>",1.08337259292603,0.68323689699173,0.151291562158171,0.820185292798572,0.338671580306846,-1.58564708331192,-0.200206533028542
"C54 CD154 <CD154>",1.27839398384094,0.741731256246567,0.0642595867234119,1.19206207188003,0.338671580306846,-1.72352718464378,-0.236418137786137
"C55 CD154 <CD154>",1.12934064865112,1.10531628131866,0.345134573417219,0.462011533631616,0.420895821240511,-1.02173528766246,-0.00933839286465592
"C56 CD154 <CD154>",1.63349962234497,1.40731912851334,0.226890418219509,0.644183844363017,0.371951505277884,-1.16071727389264,-0.0647264476962132
"C57 CD154 <CD154>",1.69560134410858,1.64870536327362,0.473070468243882,0.3250741622432,0.503266455578598,-1.02844412463234,-0.0121807014531704
"C58 CD154 <CD154>",1.65113663673401,1.70788890123367,0.545708068650478,0.263039624841605,0.562585637783998,1.03437163420462,0.0146766022848255
"C59 CD154 <CD154>",1.50001567602158,0.735428601503372,0.151291562158171,0.820185292798572,0.338671580306846,-2.0396482717088,-0.309555281726838
"C60 CD154 <CD154>",1.38436257839203,1.12580871582031,0.290348744466384,0.537080047614126,0.382037821666295,-1.22966056217048,-0.0897852445118113
"C61 CD154 <CD154>",1.02101898193359,0.489169657230377,0.162346947046639,0.789555873919808,0.338671580306846,-2.08724921270564,-0.319574305913234
"C62 CD154 <CD154>",1.07065999507904,0.649469673633575,0.345134573417219,0.462011533631616,0.420895821240511,-1.64851422405767,-0.217092698766466
"C63 CD154 <CD154>",1.12988257408142,0.458209425210953,0.0642595867234119,1.19206207188003,0.338671580306846,-2.46586497770368,-0.391969292436662
"C64 CD154 <CD154>",1.26246458292007,0.768270373344421,0.273464233087508,0.563099467826,0.382037821666295,-1.6432555864732,-0.215705117398693
"C65 CD154 <CD154>",1.27530467510223,0.999856323003769,0.186269369168765,0.729858556240111,0.338671580306846,-1.27548793337723,-0.105676354366842
"C66 CD154 <CD154>",1.48310697078705,1.32657462358475,0.290348744466384,0.537080047614126,0.382037821666295,-1.11799739299951,-0.0484407908426684
"C67 CD154 <CD154>",1.48106771707535,0.937852263450623,0.162346947046639,0.789555873919808,0.338671580306846,-1.57921217956662,-0.198440484805158
"C68 CD154 <CD154>",1.71511673927307,1.36540532112122,0.2572636553313,0.589621563979958,0.378328904898971,-1.25612278840739,-0.0990320945933043
"C69 CD154 <CD154>",1.39249742031097,1.29321837425232,0.290348744466384,0.537080047614126,0.382037821666295,-1.07676897269269,-0.0321225327802587
"C70 CD154 <CD154>",1.29927515983582,0.599153161048889,0.151291562158171,0.820185292798572,0.338671580306846,-2.16851924399644,-0.3361632805426
"C71 CD154 <CD154>",1.01473593711853,0.52897235751152,0.345134573417219,0.462011533631616,0.420895821240511,-1.91831562218529,-0.282920063573148
"C72 CD154 <CD154>",1.13550567626953,0.734021008014679,0.186269369168765,0.729858556240111,0.338671580306846,-1.54696618199083,-0.189480819752824
